mission_name,time_s,mode,battery_percent,temperature_c,signal_strength_percent,data_storage_mb,fault,payload_power,cooling_system,antenna_mode
Low Earth Orbit,0,IDLE,100.0,22.0,100.0,0.0,,OFF,LOW,STANDBY
Low Earth Orbit,1,IDLE,99.8,22.07,99.92,0.0,,OFF,LOW,STANDBY
Low Earth Orbit,2,IDLE,99.6,22.14,99.84,0.0,,OFF,LOW,STANDBY
Low Earth Orbit,3,IDLE,99.4,22.21,99.76,0.0,,OFF,LOW,STANDBY
Low Earth Orbit,4,IDLE,99.2,22.28,99.68,0.0,,OFF,LOW,STANDBY
Low Earth Orbit,5,CRUISE,99.0,22.35,99.6,0.0,,ON,NORMAL,TRACKING
Low Earth Orbit,6,CRUISE,98.52,22.47,99.552,1.8,,ON,NORMAL,TRACKING
Low Earth Orbit,7,CRUISE,98.04,22.59,99.504,3.6,,ON,NORMAL,TRACKING
Low Earth Orbit,8,CRUISE,97.56,22.71,99.456,5.4,,ON,NORMAL,TRACKING
Low Earth Orbit,9,CRUISE,97.08,22.83,99.408,7.2,,ON,NORMAL,TRACKING
Low Earth Orbit,10,CRUISE,96.6,22.95,99.36,9.0,,ON,NORMAL,TRACKING
Low Earth Orbit,11,CRUISE,96.12,23.07,99.312,10.8,,ON,NORMAL,TRACKING
Low Earth Orbit,12,CRUISE,95.64,23.19,99.264,12.6,,ON,NORMAL,TRACKING
Low Earth Orbit,13,CRUISE,95.16,23.31,99.216,14.4,,ON,NORMAL,TRACKING
Low Earth Orbit,14,CRUISE,94.68,23.43,99.168,16.2,,ON,NORMAL,TRACKING
Low Earth Orbit,15,CRUISE,94.2,23.55,99.12,18.0,,ON,NORMAL,TRACKING
Low Earth Orbit,16,CRUISE,93.72,23.67,99.072,19.8,,ON,NORMAL,TRACKING
Low Earth Orbit,17,CRUISE,93.24,23.79,99.024,21.6,,ON,NORMAL,TRACKING
Low Earth Orbit,18,CRUISE,92.76,23.91,98.976,23.4,,ON,NORMAL,TRACKING
Low Earth Orbit,19,CRUISE,92.28,24.03,98.928,25.2,,ON,NORMAL,TRACKING
Low Earth Orbit,20,CRUISE,91.8,24.15,98.88,27.0,,ON,NORMAL,TRACKING
Low Earth Orbit,21,CRUISE,91.32,24.27,98.832,28.8,,ON,NORMAL,TRACKING
Low Earth Orbit,22,CRUISE,90.84,24.39,98.784,30.6,,ON,NORMAL,TRACKING
Low Earth Orbit,23,CRUISE,90.36,24.51,98.736,32.4,,ON,NORMAL,TRACKING
Low Earth Orbit,24,CRUISE,89.88,24.63,98.688,34.2,,ON,NORMAL,TRACKING
Low Earth Orbit,25,CRUISE,89.4,24.75,98.64,36.0,,ON,NORMAL,TRACKING
Low Earth Orbit,26,CRUISE,88.92,24.87,98.592,37.8,,ON,NORMAL,TRACKING
