mission_name,time_s,mode,battery_percent,temperature_c,signal_strength_percent,data_storage_mb,fault,payload_power,cooling_system,antenna_mode
Low Earth Orbit,0,IDLE,100.0,22.0,100.0,0.0,,OFF,LOW,STANDBY
Low Earth Orbit,1,IDLE,99.57,22.75,99.4,0.0,,OFF,LOW,STANDBY
Low Earth Orbit,2,IDLE,99.13999999999999,23.5,98.80000000000001,0.0,,OFF,LOW,STANDBY
Low Earth Orbit,3,IDLE,98.70999999999998,24.25,98.20000000000002,0.0,,OFF,LOW,STANDBY
Low Earth Orbit,4,IDLE,98.27999999999997,25.0,97.60000000000002,0.0,,OFF,LOW,STANDBY
Low Earth Orbit,5,CRUISE,97.84999999999997,25.75,97.00000000000003,0.0,,ON,NORMAL,TRACKING
Low Earth Orbit,6,CRUISE,97.04999999999997,26.55,96.52000000000002,1.5,,ON,NORMAL,TRACKING
Low Earth Orbit,7,CRUISE,96.24999999999997,27.35,96.04000000000002,3.0,,ON,NORMAL,TRACKING
Low Earth Orbit,8,CRUISE,95.44999999999997,28.150000000000002,95.56000000000002,4.5,,ON,NORMAL,TRACKING
Low Earth Orbit,9,CRUISE,94.64999999999998,28.950000000000003,95.08000000000001,6.0,,ON,NORMAL,TRACKING
Low Earth Orbit,10,CRUISE,93.84999999999998,29.750000000000004,94.60000000000001,7.5,,ON,NORMAL,TRACKING
Low Earth Orbit,11,CRUISE,93.04999999999998,30.550000000000004,94.12,9.0,,ON,NORMAL,TRACKING
Low Earth Orbit,12,CRUISE,92.24999999999999,31.350000000000005,93.64,10.5,,ON,NORMAL,TRACKING
Low Earth Orbit,13,CRUISE,91.44999999999999,32.150000000000006,93.16,12.0,,ON,NORMAL,TRACKING
Low Earth Orbit,14,CRUISE,90.64999999999999,32.95,92.67999999999999,13.5,,ON,NORMAL,TRACKING
Low Earth Orbit,15,CRUISE,89.85,33.75,92.19999999999999,15.0,,ON,NORMAL,TRACKING
Low Earth Orbit,16,CRUISE,89.05,34.55,91.71999999999998,16.5,,ON,NORMAL,TRACKING
Low Earth Orbit,17,CRUISE,88.25,35.349999999999994,91.23999999999998,18.0,,ON,NORMAL,TRACKING
Low Earth Orbit,18,CRUISE,87.45,36.14999999999999,90.75999999999998,19.5,,ON,NORMAL,TRACKING
Low Earth Orbit,19,CRUISE,86.65,36.94999999999999,90.27999999999997,21.0,,ON,NORMAL,TRACKING
