mission_name,time_s,mode,battery_percent,temperature_c,signal_strength_percent,fault,payload_power,cooling_system,antenna_mode
Lunar Transfer,0,IDLE,100.0,22.0,100.0,,OFF,LOW,STANDBY
Lunar Transfer,1,IDLE,99.5,22.6,99.1,,OFF,LOW,STANDBY
Lunar Transfer,2,IDLE,99.0,23.2,98.2,,OFF,LOW,STANDBY
Lunar Transfer,3,IDLE,98.5,23.8,97.3,,OFF,LOW,STANDBY
Lunar Transfer,4,IDLE,98.0,24.4,96.4,,OFF,LOW,STANDBY
Lunar Transfer,5,CRUISE,97.5,25.0,95.5,,ON,NORMAL,TRACKING
Lunar Transfer,6,CRUISE,97.0,25.6,94.6,,ON,NORMAL,TRACKING
Lunar Transfer,7,CRUISE,96.5,26.2,93.7,,ON,NORMAL,TRACKING
Lunar Transfer,8,CRUISE,96.0,26.8,92.8,,ON,NORMAL,TRACKING
Lunar Transfer,9,CRUISE,95.5,27.4,91.9,,ON,NORMAL,TRACKING
Lunar Transfer,10,CRUISE,95.0,28.0,91.0,,ON,NORMAL,TRACKING
Lunar Transfer,11,CRUISE,94.5,28.6,90.1,,ON,NORMAL,TRACKING
Lunar Transfer,12,CRUISE,94.0,29.2,89.2,,ON,NORMAL,TRACKING
Lunar Transfer,13,CRUISE,93.5,29.8,88.3,,ON,NORMAL,TRACKING
Lunar Transfer,14,CRUISE,93.0,30.4,87.4,,ON,NORMAL,TRACKING
Lunar Transfer,15,CRUISE,92.5,31.0,86.5,,ON,NORMAL,TRACKING
Lunar Transfer,16,CRUISE,92.0,31.6,85.6,,ON,NORMAL,TRACKING
Lunar Transfer,17,CRUISE,91.5,32.2,84.7,,ON,NORMAL,TRACKING
Lunar Transfer,18,CRUISE,91.0,32.8,83.8,,ON,NORMAL,TRACKING
Lunar Transfer,19,CRUISE,90.5,33.4,82.9,,ON,NORMAL,TRACKING
Lunar Transfer,20,CRUISE,90.0,34.0,82.0,,ON,NORMAL,TRACKING
Lunar Transfer,21,CRUISE,89.5,34.6,81.1,,ON,NORMAL,TRACKING
Lunar Transfer,22,CRUISE,89.0,35.2,80.2,,ON,NORMAL,TRACKING
Lunar Transfer,23,CRUISE,88.5,35.8,79.3,,ON,NORMAL,TRACKING
Lunar Transfer,24,CRUISE,88.0,36.4,78.4,,ON,NORMAL,TRACKING
Lunar Transfer,25,CRUISE,87.5,37.0,77.5,,ON,NORMAL,TRACKING
Lunar Transfer,26,CRUISE,87.0,37.6,76.6,,ON,NORMAL,TRACKING
Lunar Transfer,27,CRUISE,86.5,38.2,75.7,,ON,NORMAL,TRACKING
Lunar Transfer,28,CRUISE,86.0,38.8,74.8,,ON,NORMAL,TRACKING
Lunar Transfer,29,CRUISE,85.5,39.4,73.9,,ON,NORMAL,TRACKING
Lunar Transfer,30,CRUISE,85.0,40.0,73.0,,ON,NORMAL,TRACKING
Lunar Transfer,31,CRUISE,84.5,40.599999999999994,72.1,,ON,NORMAL,TRACKING
Lunar Transfer,32,CRUISE,84.0,41.2,71.2,,ON,NORMAL,TRACKING
Lunar Transfer,33,CRUISE,83.5,41.8,70.3,,ON,NORMAL,TRACKING
Lunar Transfer,34,CRUISE,83.0,42.4,69.4,,ON,NORMAL,TRACKING
Lunar Transfer,35,CRUISE,82.5,43.0,68.5,,ON,NORMAL,TRACKING
Lunar Transfer,36,CRUISE,82.0,43.599999999999994,67.6,,ON,NORMAL,TRACKING
Lunar Transfer,37,CRUISE,81.5,44.2,66.69999999999999,,ON,NORMAL,TRACKING
Lunar Transfer,38,CRUISE,81.0,44.8,65.8,,ON,NORMAL,TRACKING
Lunar Transfer,39,CRUISE,80.5,45.4,64.9,,ON,NORMAL,TRACKING
Lunar Transfer,40,CRUISE,80.0,46.0,64.0,,ON,NORMAL,TRACKING
Lunar Transfer,41,CRUISE,79.5,46.599999999999994,63.1,,ON,NORMAL,TRACKING
Lunar Transfer,42,CRUISE,79.0,47.2,62.199999999999996,,ON,NORMAL,TRACKING
Lunar Transfer,43,CRUISE,78.5,47.8,61.3,,ON,NORMAL,TRACKING
Lunar Transfer,44,CRUISE,78.0,48.4,60.4,,ON,NORMAL,TRACKING
Lunar Transfer,45,COMMS_RECOVERY,77.5,49.0,59.5,LOW_SIGNAL,OFF,NORMAL,SIGNAL_SEARCH
Lunar Transfer,46,COMMS_RECOVERY,77.0,49.599999999999994,58.6,LOW_SIGNAL,OFF,NORMAL,SIGNAL_SEARCH
Lunar Transfer,47,COMMS_RECOVERY,76.5,50.2,57.699999999999996,LOW_SIGNAL,OFF,NORMAL,SIGNAL_SEARCH
Lunar Transfer,48,COMMS_RECOVERY,76.0,50.8,56.8,LOW_SIGNAL,OFF,NORMAL,SIGNAL_SEARCH
Lunar Transfer,49,COMMS_RECOVERY,75.5,51.4,55.9,LOW_SIGNAL,OFF,NORMAL,SIGNAL_SEARCH
